image_path,label,source,source_type,source_name,source_url,license_type,license_url,attribution_note,permission_note,notes,reviewed,reviewer,privacy_checked,split,near_duplicate_group
datasets/raw/rice_clear_commons_0021.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice-paddy.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_021
datasets/raw/rice_clear_commons_0022.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_022
datasets/raw/rice_clear_commons_0023.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa.JPG,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_023
datasets/raw/rice_clear_commons_0024.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_024
datasets/raw/rice_clear_commons_0025.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_Corella_Bohol.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_025
datasets/raw/rice_clear_commons_0026.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Paddy_Closeup.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_026
datasets/raw/rice_clear_commons_0027.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields_from_the_outskirts_of_Sogod.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_027
datasets/raw/rice_clear_commons_0028.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Local_rice_paddy_fields.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_028
datasets/raw/rice_clear_commons_0029.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_029
datasets/raw/rice_clear_commons_0030.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa_of_Kadavoor.jpg,,,,,"Candidate Commons rice image. Exact file-page license and attribution still need manual confirmation.",no,,no,,group_030
