image_path,source_name,source_url,license_type,license_url,attribution_note,permission_note,collector,checked_date,notes
datasets/raw/rice_clear_commons_0021.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice-paddy.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0022.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0023.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa.JPG,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0024.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0025.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_Corella_Bohol.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0026.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Paddy_Closeup.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0027.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields_from_the_outskirts_of_Sogod.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0028.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Local_rice_paddy_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0029.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0030.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa_of_Kadavoor.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0031.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Asia_Rice_paddy.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0032.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_field_in_Tarlac_-_panoramio.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0033.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_research_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0034.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa_subsp_paddy_field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0035.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_plant_(Oryza_sativa).jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0036.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Paddy_Field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0037.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Plain_rice_field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0038.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0039.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_field_at_Patacbo,_Basista,_Pangasinan.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
